1.   India
14.  Autralia
30.  Brazil
37.  Canada
94.  Indonesia
148. New Zealand
162  Phillipines
184. Qatar
189. Sauth Africa
191. Sri Lanka
208. Turkey
214. UAE
215. United Kingdom
216. United States
